country_region,sub_region_1,sub_region_2,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
United States,Massachusetts,Suffolk County,2020-06-16,-41.0,-17.0,43.0,-67.0,-54.0,19.0
United States,Massachusetts,Suffolk County,2020-06-17,-42.0,-15.0,47.0,-66.0,-54.0,19.0
United States,Massachusetts,Suffolk County,2020-06-18,-43.0,-11.0,56.0,-67.0,-54.0,18.0
United States,Massachusetts,Suffolk County,2020-06-19,-45.0,-15.0,46.0,-65.0,-51.0,17.0
United States,Massachusetts,Suffolk County,2020-06-20,-45.0,-11.0,83.0,-56.0,-24.0,5.0
United States,Massachusetts,Suffolk County,2020-06-21,-44.0,-19.0,59.0,-61.0,-23.0,5.0
United States,Massachusetts,Suffolk County,2020-06-22,-40.0,-18.0,39.0,-66.0,-55.0,18.0
United States,Massachusetts,Suffolk County,2020-06-23,-40.0,-17.0,48.0,-66.0,-54.0,18.0
United States,Massachusetts,Suffolk County,2020-06-24,-43.0,-16.0,27.0,-66.0,-54.0,19.0
United States,Massachusetts,Suffolk County,2020-06-25,-41.0,-12.0,55.0,-64.0,-53.0,18.0
United States,Massachusetts,Suffolk County,2020-06-26,-43.0,-16.0,36.0,-64.0,-50.0,18.0
United States,Massachusetts,Suffolk County,2020-06-27,-45.0,-17.0,38.0,-57.0,-26.0,7.0
United States,Massachusetts,Suffolk County,2020-06-28,-48.0,-29.0,1.0,-63.0,-23.0,8.0
United States,Massachusetts,Suffolk County,2020-06-29,-42.0,-21.0,-6.0,-67.0,-53.0,19.0
United States,Massachusetts,Suffolk County,2020-06-30,-40.0,-19.0,-1.0,-68.0,-53.0,19.0
United States,Massachusetts,Suffolk County,2020-07-01,-37.0,-13.0,19.0,-64.0,-53.0,17.0
United States,Massachusetts,Suffolk County,2020-07-02,-32.0,-6.0,66.0,-61.0,-53.0,15.0
United States,Massachusetts,Suffolk County,2020-07-03,-38.0,-7.0,16.0,-66.0,-63.0,19.0
United States,Massachusetts,Suffolk County,2020-07-04,-51.0,-21.0,97.0,-58.0,-37.0,6.0
United States,Massachusetts,Suffolk County,2020-07-05,-42.0,-25.0,63.0,-57.0,-25.0,4.0
United States,Massachusetts,Suffolk County,2020-07-06,-35.0,-14.0,50.0,-63.0,-55.0,16.0
United States,Massachusetts,Suffolk County,2020-07-07,-36.0,-14.0,50.0,-62.0,-54.0,17.0
United States,Massachusetts,Suffolk County,2020-07-08,-39.0,-14.0,28.0,-64.0,-53.0,18.0
United States,Massachusetts,Suffolk County,2020-07-09,-38.0,-13.0,55.0,-64.0,-53.0,17.0
United States,Massachusetts,Suffolk County,2020-07-10,-42.0,-16.0,9.0,-63.0,-50.0,18.0
United States,Massachusetts,Suffolk County,2020-07-11,-38.0,-13.0,78.0,-53.0,-24.0,6.0
United States,Massachusetts,Suffolk County,2020-07-12,-37.0,-17.0,86.0,-55.0,-23.0,4.0
United States,Massachusetts,Suffolk County,2020-07-13,-37.0,-16.0,25.0,-65.0,-53.0,17.0
United States,Massachusetts,Suffolk County,2020-07-14,-38.0,-17.0,17.0,-64.0,-53.0,18.0
United States,Massachusetts,Suffolk County,2020-07-15,-35.0,-14.0,42.0,-63.0,-52.0,16.0
United States,Massachusetts,Suffolk County,2020-07-16,-35.0,-12.0,52.0,-63.0,-52.0,16.0
United States,Massachusetts,Suffolk County,2020-07-17,-41.0,-18.0,9.0,-63.0,-50.0,17.0
United States,Massachusetts,Suffolk County,2020-07-18,-38.0,-15.0,93.0,-52.0,-25.0,4.0
United States,Massachusetts,Suffolk County,2020-07-19,-38.0,-22.0,74.0,-56.0,-24.0,4.0
United States,Massachusetts,Suffolk County,2020-07-20,-36.0,-16.0,42.0,-64.0,-53.0,16.0
United States,Massachusetts,Suffolk County,2020-07-21,-35.0,-16.0,53.0,-64.0,-53.0,16.0
United States,Massachusetts,Suffolk County,2020-07-22,-38.0,-16.0,23.0,-64.0,-52.0,17.0
United States,Massachusetts,Suffolk County,2020-07-23,-41.0,-18.0,8.0,-65.0,-52.0,18.0
United States,Massachusetts,Suffolk County,2020-07-24,-37.0,-14.0,35.0,-62.0,-48.0,15.0
United States,Massachusetts,Suffolk County,2020-07-25,-36.0,-13.0,93.0,-51.0,-25.0,3.0
United States,Massachusetts,Suffolk County,2020-07-26,-35.0,-19.0,82.0,-56.0,-24.0,3.0
United States,Massachusetts,Suffolk County,2020-07-27,-36.0,-17.0,42.0,-64.0,-53.0,15.0
United States,Massachusetts,Suffolk County,2020-07-28,-36.0,-18.0,29.0,-65.0,-53.0,17.0
United States,Massachusetts,Suffolk County,2020-07-29,-35.0,-14.0,44.0,-63.0,-53.0,15.0
United States,Massachusetts,Suffolk County,2020-07-30,-37.0,-15.0,32.0,-62.0,-52.0,16.0
United States,Massachusetts,Suffolk County,2020-07-31,-36.0,-15.0,35.0,-60.0,-50.0,14.0
United States,Massachusetts,Suffolk County,2020-08-01,-34.0,-12.0,92.0,-49.0,-25.0,3.0
United States,Massachusetts,Suffolk County,2020-08-02,-35.0,-19.0,44.0,-55.0,-25.0,5.0
United States,Massachusetts,Suffolk County,2020-08-03,-32.0,-11.0,50.0,-62.0,-52.0,14.0
United States,Massachusetts,Suffolk County,2020-08-04,-39.0,-19.0,0.0,-66.0,-54.0,18.0
United States,Massachusetts,Suffolk County,2020-08-05,-35.0,-14.0,43.0,-64.0,-52.0,15.0
United States,Massachusetts,Suffolk County,2020-08-06,-36.0,-13.0,49.0,-63.0,-52.0,15.0
United States,Massachusetts,Suffolk County,2020-08-07,-38.0,-17.0,25.0,-63.0,-49.0,15.0
United States,Massachusetts,Suffolk County,2020-08-08,-34.0,-11.0,88.0,-53.0,-23.0,4.0
United States,Massachusetts,Suffolk County,2020-08-09,-35.0,-20.0,75.0,-56.0,-23.0,4.0
United States,Massachusetts,Suffolk County,2020-08-10,-35.0,-16.0,42.0,-64.0,-53.0,15.0
United States,Massachusetts,Suffolk County,2020-08-11,-37.0,-18.0,40.0,-65.0,-53.0,15.0
United States,Massachusetts,Suffolk County,2020-08-12,-38.0,-16.0,33.0,-64.0,-52.0,16.0
United States,Massachusetts,Suffolk County,2020-08-13,-38.0,-12.0,44.0,-63.0,-52.0,16.0
United States,Massachusetts,Suffolk County,2020-08-14,-39.0,-16.0,34.0,-61.0,-49.0,15.0
United States,Massachusetts,Suffolk County,2020-08-15,-39.0,-15.0,46.0,-52.0,-26.0,5.0
United States,Massachusetts,Suffolk County,2020-08-16,-38.0,-22.0,11.0,-56.0,-26.0,6.0
United States,Massachusetts,Suffolk County,2020-08-17,-36.0,-16.0,34.0,-63.0,-52.0,15.0
United States,Massachusetts,Suffolk County,2020-08-18,-37.0,-17.0,48.0,-63.0,-51.0,15.0
United States,Massachusetts,Suffolk County,2020-08-19,-39.0,-19.0,23.0,-64.0,-52.0,16.0
United States,Massachusetts,Suffolk County,2020-08-20,-36.0,-14.0,59.0,-62.0,-51.0,14.0
United States,Massachusetts,Suffolk County,2020-08-21,-37.0,-17.0,42.0,-61.0,-48.0,14.0
United States,Massachusetts,Suffolk County,2020-08-22,-37.0,-15.0,75.0,-52.0,-25.0,4.0
United States,Massachusetts,Suffolk County,2020-08-23,-38.0,-25.0,40.0,-56.0,-24.0,4.0
United States,Massachusetts,Suffolk County,2020-08-24,-34.0,-16.0,45.0,-63.0,-51.0,14.0
United States,Massachusetts,Suffolk County,2020-08-25,-35.0,-18.0,38.0,-63.0,-52.0,15.0
United States,Massachusetts,Suffolk County,2020-08-26,-34.0,-16.0,52.0,-62.0,-51.0,14.0
United States,Massachusetts,Suffolk County,2020-08-27,-39.0,-19.0,2.0,-64.0,-52.0,17.0
United States,Massachusetts,Suffolk County,2020-08-28,-35.0,-16.0,45.0,-60.0,-48.0,14.0
United States,Massachusetts,Suffolk County,2020-08-29,-38.0,-18.0,12.0,-55.0,-26.0,7.0
United States,Massachusetts,Suffolk County,2020-08-30,-25.0,-16.0,100.0,-51.0,-21.0,2.0
United States,Massachusetts,Suffolk County,2020-08-31,-31.0,-16.0,44.0,-61.0,-51.0,13.0
United States,Massachusetts,Suffolk County,2020-09-01,-27.0,-10.0,46.0,-61.0,-52.0,13.0
United States,Massachusetts,Suffolk County,2020-09-02,-39.0,-19.0,-14.0,-64.0,-53.0,16.0
United States,Massachusetts,Suffolk County,2020-09-03,-33.0,-9.0,29.0,-60.0,-51.0,14.0
United States,Massachusetts,Suffolk County,2020-09-04,-33.0,-12.0,41.0,-57.0,-48.0,12.0
United States,Massachusetts,Suffolk County,2020-09-05,-30.0,-9.0,92.0,-48.0,-24.0,2.0
United States,Massachusetts,Suffolk County,2020-09-06,-26.0,-16.0,89.0,-52.0,-24.0,2.0
United States,Massachusetts,Suffolk County,2020-09-07,-33.0,-19.0,92.0,-67.0,-72.0,17.0
United States,Massachusetts,Suffolk County,2020-09-08,-35.0,-18.0,36.0,-61.0,-53.0,14.0
United States,Massachusetts,Suffolk County,2020-09-09,-37.0,-15.0,32.0,-63.0,-51.0,15.0
United States,Massachusetts,Suffolk County,2020-09-10,-40.0,-17.0,-3.0,-63.0,-51.0,16.0
United States,Massachusetts,Suffolk County,2020-09-11,-37.0,-15.0,17.0,-61.0,-47.0,15.0
